Código de proyecto;Área;Prioridad;Presupuesto;Complejidad técnica;Número de dependencias asociadas;Time to market teórico en Q's;Fecha de inicio de ejecución;Fecha fin de ejecución;Fecha pase a producción;Fecha de uso por el personal;Time to market
SDATOOL-6598;RIC;Media;154105;Media;4;3;26/09/2023;07/07/2024;16/07/2024;21/07/2024;299
SDATOOL-9207;FIN;Alta;143398;Alta;1;2;12/08/2025;02/04/2026;26/04/2026;27/04/2026;258
SDATOOL-7996;CIB;Alta;109222;Media;5;2;29/08/2019;16/05/2020;25/05/2020;29/05/2020;274
SDATOOL-2035;CCS;Media;102961;Alta;5;1;03/04/2024;22/08/2024;11/09/2024;13/09/2024;163
SDATOOL-2047;GRM;Alta;265446;Media;7;4;03/11/2022;11/12/2023;02/01/2024;06/01/2024;429
SDATOOL-4216;FIN;Media;181065;Alta;4;2;23/08/2022;05/03/2023;19/03/2023;28/03/2023;217
SDATOOL-1137;T&C;Media;414305;Alta;6;4;22/12/2024;26/03/2026;06/04/2026;07/04/2026;471
SDATOOL-1846;FIN;Alta;140496;Alta;2;2;01/04/2025;16/11/2025;15/12/2025;18/12/2025;261
SDATOOL-3682;RCS;Alta;263856;Alta;1;4;07/10/2021;05/11/2022;04/12/2022;06/12/2022;425
SDATOOL-2141;GRM;Baja;213380;Alta;8;2;07/03/2020;18/01/2021;07/02/2021;12/02/2021;342
SDATOOL-9012;RCS;Media;141368;Media;9;2;10/12/2022;11/09/2023;27/09/2023;06/10/2023;300
SDATOOL-4843;CCS;Alta;190000;Media;6;3;03/06/2025;13/04/2026;26/04/2026;03/05/2026;334
SDATOOL-6572;ENG;Alta;158635;Alta;2;2;05/07/2025;08/04/2026;19/04/2026;25/04/2026;294
SDATOOL-4915;T&C;Media;57661;Baja;1;2;14/12/2023;05/05/2024;24/05/2024;28/05/2024;166
SDATOOL-3511;FIN;Media;102166;Baja;9;2;13/05/2024;04/02/2025;14/02/2025;22/02/2025;285
SDATOOL-9661;CCS;Media;100836;Baja;2;3;05/06/2024;26/01/2025;18/02/2025;19/02/2025;259
SDATOOL-2374;RCS;Alta;112432;Alta;8;1;10/08/2019;24/04/2020;16/05/2020;25/05/2020;289
SDATOOL-1672;ENG;Media;155415;Media;5;3;15/03/2019;12/01/2020;20/01/2020;21/01/2020;312
SDATOOL-1779;FIN;Media;132824;Baja;7;3;15/07/2024;12/04/2025;10/05/2025;13/05/2025;302
SDATOOL-8631;ENG;Media;75000;Media;2;2;20/02/2020;02/09/2020;11/09/2020;17/09/2020;210
SDATOOL-6265;FIN;Alta;35777;Baja;2;1;23/02/2024;24/05/2024;08/06/2024;12/06/2024;110
SDATOOL-7974;ENG;Media;207477;Media;4;4;18/02/2020;27/03/2021;06/04/2021;15/04/2021;422
SDATOOL-8517;FIN;Alta;161050;Media;5;3;30/06/2019;06/03/2020;26/03/2020;28/03/2020;272
SDATOOL-8463;RIC;Baja;111123;Baja;2;4;19/12/2022;06/12/2023;21/12/2023;22/12/2023;368
SDATOOL-3258;ENG;Media;104755;Media;3;2;27/01/2025;07/08/2025;14/08/2025;21/08/2025;206
SDATOOL-3152;CCS;Alta;201336;Media;9;3;19/05/2019;24/03/2020;09/04/2020;14/04/2020;331
SDATOOL-6447;RCS;Baja;132650;Media;9;2;03/02/2024;08/10/2024;21/10/2024;22/10/2024;262
SDATOOL-8725;CCS;Media;36737;Media;2;1;08/11/2025;22/02/2026;03/03/2026;05/03/2026;117
SDATOOL-4461;FIN;Media;143389;Baja;8;3;13/10/2024;15/09/2025;28/09/2025;03/10/2025;355
SDATOOL-5201;FIN;Baja;59068;Media;9;1;17/09/2019;07/02/2020;25/02/2020;02/03/2020;167
SDATOOL-7938;CCS;Baja;114056;Baja;4;3;19/06/2021;14/03/2022;03/04/2022;05/04/2022;290
SDATOOL-3609;ENG;Media;134674;Media;2;3;30/05/2022;25/02/2023;25/03/2023;28/03/2023;302
SDATOOL-7756;ENG;Alta;65479;Media;10;1;29/11/2019;12/07/2020;01/08/2020;09/08/2020;254
SDATOOL-3458;ENG;Alta;203884;Media;9;3;21/09/2025;17/10/2026;29/10/2026;06/11/2026;411
SDATOOL-7670;FIN;Alta;108684;Baja;5;3;20/02/2023;09/11/2023;22/11/2023;02/12/2023;285
SDATOOL-3850;FIN;Alta;170152;Alta;3;2;17/01/2022;19/09/2022;12/10/2022;17/10/2022;273
SDATOOL-8320;FIN;Baja;81840;Baja;9;2;27/09/2025;11/05/2026;23/05/2026;29/05/2026;244
SDATOOL-1894;FIN;Media;73028;Baja;7;2;20/10/2025;02/05/2026;26/05/2026;03/06/2026;226
SDATOOL-4969;ENG;Media;103076;Media;2;2;25/01/2022;02/08/2022;12/08/2022;17/08/2022;204
SDATOOL-7285;ENG;Media;101649;Media;4;2;24/03/2019;23/10/2019;06/11/2019;13/11/2019;234
SDATOOL-7410;T&C;Media;205472;Alta;6;2;17/06/2024;16/04/2025;14/05/2025;21/05/2025;338
SDATOOL-2619;ENG;Baja;344095;Alta;4;4;01/07/2024;10/08/2025;30/08/2025;05/09/2025;431
SDATOOL-4335;CCS;Media;88039;Media;3;2;18/12/2024;14/07/2025;26/07/2025;05/08/2025;230
SDATOOL-7814;RIC;Media;75392;Media;1;2;04/09/2025;27/03/2026;05/04/2026;07/04/2026;215
SDATOOL-6593;RIC;Media;76484;Baja;6;2;07/10/2025;16/04/2026;12/05/2026;14/05/2026;219
SDATOOL-3164;CCS;Alta;64595;Media;5;1;17/07/2020;05/11/2020;25/11/2020;27/11/2020;133
SDATOOL-2090;RCS;Media;136316;Media;1;3;05/03/2025;31/10/2025;19/11/2025;28/11/2025;268
SDATOOL-3322;T&C;Alta;192476;Alta;1;3;13/05/2019;27/02/2020;14/03/2020;23/03/2020;315
SDATOOL-3300;FIN;Media;178917;Alta;4;2;03/08/2019;10/03/2020;19/03/2020;29/03/2020;239
SDATOOL-1869;CIB;Media;154085;Media;10;2;28/12/2019;07/12/2020;21/12/2020;30/12/2020;368
SDATOOL-7081;FIN;Baja;50762;Baja;1;2;08/03/2025;18/07/2025;16/08/2025;22/08/2025;167
SDATOOL-5819;CCS;Baja;121279;Baja;5;3;15/06/2024;08/02/2025;27/02/2025;02/03/2025;260
SDATOOL-3871;RIC;Alta;191761;Baja;9;4;23/02/2019;20/03/2020;07/04/2020;10/04/2020;412
SDATOOL-8276;CIB;Media;107242;Baja;4;3;11/08/2019;25/03/2020;18/04/2020;24/04/2020;257
SDATOOL-2558;FIN;Baja;311183;Alta;7;3;12/08/2019;28/07/2020;17/08/2020;26/08/2020;380
SDATOOL-2244;GRM;Media;151440;Media;10;2;22/02/2020;27/11/2020;18/12/2020;28/12/2020;310
SDATOOL-7095;CCS;Media;255697;Alta;3;3;10/09/2020;06/08/2021;01/09/2021;11/09/2021;366
SDATOOL-9636;RCS;Alta;161413;Media;4;3;08/08/2025;29/04/2026;17/05/2026;25/05/2026;290
SDATOOL-6220;FIN;Alta;120278;Baja;8;3;05/10/2019;30/08/2020;08/09/2020;12/09/2020;343
SDATOOL-4725;RIC;Media;79817;Baja;1;3;21/03/2023;07/12/2023;30/12/2023;05/01/2024;290
SDATOOL-6036;ENG;Media;118061;Alta;10;1;01/09/2025;21/06/2026;12/07/2026;13/07/2026;315
SDATOOL-3214;ENG;Alta;206583;Alta;7;2;31/10/2023;25/10/2024;11/11/2024;13/11/2024;379
SDATOOL-1428;GRM;Media;230173;Alta;9;2;09/08/2020;28/05/2021;18/06/2021;26/06/2021;321
SDATOOL-8754;RIC;Alta;67486;Media;9;1;29/08/2024;19/05/2025;09/06/2025;12/06/2025;287
SDATOOL-2148;FIN;Media;134971;Media;7;2;26/08/2021;02/07/2022;18/07/2022;26/07/2022;334
SDATOOL-2267;FIN;Alta;264331;Alta;4;3;15/04/2022;02/03/2023;30/03/2023;09/04/2023;359
SDATOOL-8915;CCS;Baja;226966;Media;9;3;16/10/2021;26/09/2022;13/10/2022;21/10/2022;370
SDATOOL-2502;T&C;Media;130782;Alta;9;1;05/06/2023;17/11/2023;14/12/2023;18/12/2023;196
SDATOOL-7141;RIC;Media;91445;Alta;6;1;23/02/2025;10/08/2025;06/09/2025;13/09/2025;202
SDATOOL-6067;RIC;Media;220652;Media;10;3;23/02/2019;14/02/2020;12/03/2020;14/03/2020;385
SDATOOL-7248;CCS;Media;370685;Alta;10;3;14/11/2024;12/12/2025;02/01/2026;07/01/2026;419
SDATOOL-1027;RIC;Media;94404;Media;2;2;21/11/2023;24/05/2024;02/06/2024;04/06/2024;196
SDATOOL-7758;FIN;Media;34166;Baja;3;1;11/03/2021;06/05/2021;31/05/2021;02/06/2021;83
SDATOOL-3837;ENG;Baja;398094;Alta;6;4;29/09/2023;23/03/2025;01/04/2025;05/04/2025;554
SDATOOL-1396;ENG;Media;149034;Media;2;3;07/12/2020;08/08/2021;29/08/2021;08/09/2021;275
SDATOOL-5533;GRM;Media;112514;Media;5;2;07/02/2020;17/07/2020;31/07/2020;06/08/2020;181
SDATOOL-5072;GRM;Media;161279;Media;10;2;09/10/2023;17/06/2024;15/07/2024;17/07/2024;282
SDATOOL-5840;FIN;Media;54028;Media;4;1;26/05/2025;21/08/2025;11/09/2025;14/09/2025;111
SDATOOL-7092;CIB;Alta;197378;Media;8;3;09/02/2025;06/02/2026;03/03/2026;08/03/2026;392
SDATOOL-1213;T&C;Baja;365546;Alta;9;3;14/02/2025;04/03/2026;01/04/2026;10/04/2026;420
SDATOOL-3062;GRM;Media;390613;Alta;6;4;11/10/2022;07/01/2024;29/01/2024;08/02/2024;485
SDATOOL-1286;RCS;Baja;96720;Media;4;2;31/07/2024;09/01/2025;29/01/2025;31/01/2025;184
SDATOOL-6057;ENG;Media;99390;Media;2;2;02/11/2022;26/05/2023;17/06/2023;25/06/2023;235
SDATOOL-7980;RIC;Media;224176;Media;10;3;01/12/2022;13/09/2023;01/10/2023;06/10/2023;309
SDATOOL-3506;GRM;Media;128369;Media;2;3;05/07/2024;25/02/2025;19/03/2025;27/03/2025;265
SDATOOL-6147;RCS;Media;97888;Alta;5;1;29/04/2019;09/10/2019;17/10/2019;25/10/2019;179
SDATOOL-5240;ENG;Media;116129;Baja;2;4;09/03/2021;08/02/2022;03/03/2022;05/03/2022;361
SDATOOL-1151;FIN;Media;117131;Alta;10;1;29/05/2021;24/11/2021;15/12/2021;23/12/2021;208
SDATOOL-6946;ENG;Baja;135658;Baja;9;3;29/01/2025;24/01/2026;16/02/2026;21/02/2026;388
SDATOOL-4990;ENG;Baja;139406;Media;10;2;15/09/2019;04/07/2020;31/07/2020;05/08/2020;325
SDATOOL-1253;FIN;Media;213426;Media;8;3;15/08/2024;24/08/2025;02/09/2025;08/09/2025;389
SDATOOL-9952;ENG;Media;204884;Media;9;3;28/06/2020;28/07/2021;09/08/2021;18/08/2021;416
SDATOOL-4486;FIN;Media;68775;Baja;4;2;31/03/2021;08/09/2021;25/09/2021;28/09/2021;181
SDATOOL-2207;FIN;Alta;50100;Media;4;1;27/07/2020;24/11/2020;12/12/2020;15/12/2020;141
SDATOOL-5241;CIB;Media;102380;Media;3;2;08/04/2019;15/10/2019;12/11/2019;17/11/2019;223
SDATOOL-4607;RCS;Alta;117186;Media;5;2;09/09/2022;09/04/2023;17/04/2023;23/04/2023;226
SDATOOL-7006;T&C;Media;62324;Media;10;1;28/08/2021;05/02/2022;13/02/2022;16/02/2022;172
SDATOOL-9794;FIN;Baja;170594;Media;4;3;11/12/2023;17/08/2024;01/09/2024;07/09/2024;271
SDATOOL-7671;ENG;Media;352346;Alta;9;3;23/05/2022;09/07/2023;22/07/2023;27/07/2023;430
SDATOOL-9627;CCS;Media;441931;Alta;8;4;01/01/2020;14/04/2021;28/04/2021;30/04/2021;485
SDATOOL-3377;ENG;Media;112028;Media;6;2;18/02/2023;19/11/2023;03/12/2023;13/12/2023;298
SDATOOL-4130;ENG;Alta;117006;Baja;7;3;10/09/2024;22/08/2025;07/09/2025;12/09/2025;367
SDATOOL-5967;CIB;Alta;124868;Media;7;2;30/06/2019;05/05/2020;24/05/2020;25/05/2020;330
SDATOOL-4005;GRM;Media;168533;Media;1;4;12/03/2025;13/03/2026;08/04/2026;11/04/2026;395
SDATOOL-7236;GRM;Media;234229;Alta;8;2;17/04/2025;10/12/2025;27/12/2025;06/01/2026;264
SDATOOL-8402;ENG;Media;124633;Media;1;3;25/03/2021;04/02/2022;13/02/2022;16/02/2022;328
SDATOOL-2526;RCS;Media;99340;Media;3;2;06/11/2019;27/04/2020;16/05/2020;23/05/2020;199
SDATOOL-9116;CCS;Media;79791;Alta;3;1;05/12/2019;25/04/2020;13/05/2020;15/05/2020;162
SDATOOL-7197;RCS;Baja;175857;Media;5;3;29/08/2025;05/05/2026;25/05/2026;27/05/2026;271
SDATOOL-6152;FIN;Media;205936;Alta;6;2;05/01/2023;23/09/2023;11/10/2023;19/10/2023;287
SDATOOL-1410;RIC;Alta;126524;Baja;8;3;24/01/2022;13/12/2022;02/01/2023;07/01/2023;348
SDATOOL-4933;ENG;Media;86248;Baja;10;2;11/07/2023;06/05/2024;25/05/2024;29/05/2024;323
SDATOOL-9341;CIB;Media;55619;Media;8;1;10/01/2024;27/05/2024;17/06/2024;22/06/2024;164
SDATOOL-1979;T&C;Media;163634;Media;10;2;08/02/2024;10/09/2024;19/09/2024;27/09/2024;232
SDATOOL-4454;ENG;Media;194620;Media;6;3;11/04/2022;12/04/2023;02/05/2023;06/05/2023;390
SDATOOL-6785;FIN;Alta;228295;Alta;9;2;24/06/2025;14/06/2026;24/06/2026;04/07/2026;375
SDATOOL-2033;CCS;Media;41979;Baja;4;1;26/07/2024;22/09/2024;03/10/2024;11/10/2024;77
SDATOOL-3236;ENG;Media;148208;Media;10;2;19/04/2019;07/03/2020;05/04/2020;12/04/2020;359
SDATOOL-8481;FIN;Media;131656;Baja;7;3;01/06/2021;30/03/2022;22/04/2022;30/04/2022;333
SDATOOL-4089;ENG;Media;121979;Baja;2;4;21/06/2019;16/06/2020;10/07/2020;18/07/2020;393
SDATOOL-2016;FIN;Media;261547;Alta;1;4;31/05/2019;05/07/2020;15/07/2020;18/07/2020;414
SDATOOL-1096;CCS;Media;68197;Baja;6;2;23/07/2024;27/02/2025;07/03/2025;09/03/2025;229
SDATOOL-8941;RIC;Media;242060;Alta;9;2;07/09/2022;24/06/2023;23/07/2023;28/07/2023;324
SDATOOL-2471;GRM;Alta;294112;Media;9;4;16/01/2019;04/06/2020;23/06/2020;29/06/2020;530
SDATOOL-6562;RIC;Media;261466;Alta;10;2;11/03/2023;29/11/2023;06/12/2023;16/12/2023;280
SDATOOL-8188;FIN;Media;176996;Media;5;3;25/05/2025;07/03/2026;14/03/2026;20/03/2026;299
SDATOOL-5790;FIN;Media;210868;Alta;1;3;13/06/2025;27/03/2026;09/04/2026;15/04/2026;306
SDATOOL-5520;FIN;Media;98823;Media;4;2;18/11/2025;09/06/2026;21/06/2026;27/06/2026;221
SDATOOL-1865;RIC;Alta;115292;Baja;1;4;17/07/2021;20/06/2022;19/07/2022;28/07/2022;376
SDATOOL-8327;T&C;Baja;154739;Media;5;3;11/05/2023;20/01/2024;05/02/2024;07/02/2024;272
SDATOOL-7453;GRM;Media;122599;Alta;1;2;18/08/2023;16/02/2024;12/03/2024;17/03/2024;212
SDATOOL-1335;T&C;Alta;97417;Baja;9;2;27/02/2025;22/10/2025;05/11/2025;08/11/2025;254
SDATOOL-7839;FIN;Media;429362;Alta;7;4;20/10/2020;08/01/2022;03/02/2022;07/02/2022;475
SDATOOL-2161;RCS;Alta;200504;Media;7;3;03/06/2021;04/05/2022;29/05/2022;31/05/2022;362
SDATOOL-2934;T&C;Alta;257244;Alta;3;3;13/04/2025;26/03/2026;10/04/2026;19/04/2026;371
SDATOOL-3667;FIN;Media;168922;Media;5;3;10/09/2019;26/05/2020;11/06/2020;13/06/2020;277
SDATOOL-7916;GRM;Baja;251833;Alta;4;3;22/12/2021;14/10/2022;03/11/2022;13/11/2022;326
SDATOOL-3961;CIB;Media;64225;Alta;1;1;05/02/2022;10/06/2022;28/06/2022;07/07/2022;152
SDATOOL-1366;RIC;Media;126495;Media;2;3;24/08/2025;19/05/2026;12/06/2026;17/06/2026;297
SDATOOL-5044;ENG;Alta;63465;Alta;2;1;10/08/2019;06/03/2020;21/03/2020;25/03/2020;228
SDATOOL-5352;T&C;Media;171605;Alta;4;2;30/09/2020;19/05/2021;04/06/2021;06/06/2021;249
SDATOOL-1964;T&C;Alta;53455;Baja;10;1;21/08/2019;11/02/2020;20/02/2020;22/02/2020;185
SDATOOL-1675;CIB;Media;59923;Media;9;1;08/01/2023;23/05/2023;21/06/2023;01/07/2023;174
SDATOOL-4668;T&C;Alta;141040;Media;3;3;30/04/2023;15/02/2024;05/03/2024;12/03/2024;317
SDATOOL-6464;ENG;Baja;40918;Baja;5;1;24/10/2019;19/01/2020;02/02/2020;07/02/2020;106
SDATOOL-2239;CIB;Media;99330;Media;4;2;22/02/2024;12/08/2024;10/09/2024;12/09/2024;203
SDATOOL-8726;GRM;Media;197164;Media;8;3;04/05/2024;16/02/2025;01/03/2025;10/03/2025;310
SDATOOL-3333;FIN;Alta;63889;Media;7;1;19/01/2024;27/07/2024;17/08/2024;20/08/2024;214
SDATOOL-7152;CIB;Media;213611;Media;8;3;26/08/2021;13/08/2022;11/09/2022;18/09/2022;388
SDATOOL-9333;ENG;Alta;161101;Media;1;4;28/08/2019;19/09/2020;04/10/2020;11/10/2020;410
SDATOOL-2862;ENG;Alta;79720;Media;1;2;12/04/2020;02/01/2021;26/01/2021;28/01/2021;291
SDATOOL-1725;ENG;Media;46377;Baja;2;2;02/06/2025;25/11/2025;07/12/2025;12/12/2025;193
SDATOOL-9506;FIN;Media;55771;Media;1;1;25/02/2019;25/05/2019;15/06/2019;24/06/2019;119
SDATOOL-1189;T&C;Baja;73976;Baja;3;2;23/02/2023;16/07/2023;31/07/2023;09/08/2023;167
SDATOOL-6545;RCS;Baja;214742;Alta;8;2;19/08/2023;17/07/2024;15/08/2024;23/08/2024;370
SDATOOL-4416;GRM;Media;95413;Media;2;2;05/08/2022;16/01/2023;30/01/2023;01/02/2023;180
SDATOOL-5958;CIB;Media;175393;Alta;4;2;14/01/2024;17/09/2024;29/09/2024;04/10/2024;264
SDATOOL-1619;ENG;Media;131220;Alta;9;1;31/07/2020;18/06/2021;27/06/2021;29/06/2021;333
SDATOOL-2325;RCS;Media;131639;Baja;6;3;09/07/2023;04/05/2024;02/06/2024;05/06/2024;332
SDATOOL-7563;CIB;Alta;22080;Baja;1;1;27/02/2025;14/07/2025;21/07/2025;26/07/2025;149
SDATOOL-1180;T&C;Alta;62023;Media;5;1;26/01/2025;09/06/2025;19/06/2025;29/06/2025;154
SDATOOL-4923;ENG;Alta;132473;Baja;6;3;23/11/2020;25/10/2021;05/11/2021;06/11/2021;348
SDATOOL-1309;CIB;Media;50458;Media;5;1;28/11/2023;11/02/2024;24/02/2024;03/03/2024;96
SDATOOL-1231;FIN;Media;258416;Alta;4;3;24/05/2025;20/04/2026;10/05/2026;12/05/2026;353
SDATOOL-5980;CIB;Media;155246;Baja;5;4;06/08/2019;19/08/2020;04/09/2020;13/09/2020;404
SDATOOL-5510;CCS;Baja;122542;Media;5;2;25/03/2020;20/09/2020;09/10/2020;14/10/2020;203
SDATOOL-6573;FIN;Media;141975;Media;7;2;07/09/2023;28/04/2024;22/05/2024;23/05/2024;259
SDATOOL-4799;ENG;Baja;28589;Baja;2;1;24/07/2024;20/10/2024;09/11/2024;16/11/2024;115
SDATOOL-9930;FIN;Media;224992;Media;5;4;30/07/2024;23/07/2025;21/08/2025;29/08/2025;395
SDATOOL-6293;ENG;Media;64544;Media;5;1;01/09/2025;20/12/2025;09/01/2026;19/01/2026;140
SDATOOL-9104;FIN;Alta;139578;Alta;2;2;17/04/2024;01/01/2025;16/01/2025;26/01/2025;284
SDATOOL-2776;RIC;Baja;84497;Baja;3;3;13/03/2022;10/11/2022;22/11/2022;24/11/2022;256
SDATOOL-3220;FIN;Baja;188478;Media;8;3;24/05/2024;30/05/2025;19/06/2025;22/06/2025;394
SDATOOL-5598;RCS;Media;243513;Media;7;4;07/04/2019;23/07/2020;02/08/2020;04/08/2020;485
SDATOOL-9647;CCS;Baja;318551;Alta;7;3;11/02/2019;04/03/2020;18/03/2020;25/03/2020;408
SDATOOL-1390;GRM;Alta;229351;Media;10;3;05/10/2020;21/10/2021;04/11/2021;12/11/2021;403
SDATOOL-5835;CCS;Baja;88564;Baja;10;2;19/10/2023;09/06/2024;18/06/2024;28/06/2024;253
SDATOOL-5141;ENG;Media;272788;Alta;5;3;16/05/2025;09/04/2026;16/04/2026;17/04/2026;336
SDATOOL-1537;GRM;Baja;92323;Media;4;2;17/04/2020;11/09/2020;21/09/2020;28/09/2020;164
SDATOOL-3984;FIN;Media;36445;Baja;6;1;21/07/2019;21/11/2019;20/12/2019;28/12/2019;160
SDATOOL-3924;FIN;Alta;138796;Media;7;2;03/11/2022;25/07/2023;11/08/2023;15/08/2023;285
SDATOOL-3292;CCS;Baja;246325;Alta;10;2;07/10/2021;14/09/2022;21/09/2022;24/09/2022;352
SDATOOL-6583;RCS;Alta;61006;Baja;5;2;09/11/2020;29/04/2021;18/05/2021;20/05/2021;192
SDATOOL-9632;T&C;Alta;212795;Alta;2;3;06/07/2024;14/06/2025;13/07/2025;17/07/2025;376
SDATOOL-3000;RIC;Baja;129661;Media;1;3;10/04/2019;26/12/2019;18/01/2020;24/01/2020;289
SDATOOL-7602;GRM;Media;111158;Media;5;2;30/10/2023;15/04/2024;04/05/2024;08/05/2024;191
SDATOOL-4994;CCS;Baja;171557;Media;5;3;03/01/2025;03/10/2025;10/10/2025;16/10/2025;286
SDATOOL-3553;GRM;Media;187926;Media;8;3;12/02/2023;07/02/2024;04/03/2024;08/03/2024;390
SDATOOL-9334;CCS;Baja;110627;Media;1;3;04/07/2021;12/05/2022;30/05/2022;31/05/2022;331
SDATOOL-3608;ENG;Alta;148971;Media;9;2;21/08/2023;12/06/2024;26/06/2024;02/07/2024;316
SDATOOL-6867;RCS;Media;147526;Baja;10;3;16/01/2023;10/12/2023;08/01/2024;17/01/2024;366
SDATOOL-2761;ENG;Media;103743;Baja;3;3;29/06/2025;10/03/2026;31/03/2026;03/04/2026;278
SDATOOL-1548;GRM;Media;126978;Media;2;3;21/12/2023;22/09/2024;09/10/2024;14/10/2024;298
SDATOOL-5535;RIC;Alta;82310;Media;9;1;02/05/2024;23/12/2024;12/01/2025;19/01/2025;262
SDATOOL-3216;T&C;Media;119436;Media;7;2;04/09/2024;25/04/2025;14/05/2025;15/05/2025;253
SDATOOL-4126;CCS;Media;154713;Alta;2;2;24/08/2020;12/02/2021;07/03/2021;09/03/2021;197
SDATOOL-2521;ENG;Media;145876;Alta;1;2;05/04/2023;30/12/2023;18/01/2024;25/01/2024;295
SDATOOL-7434;CIB;Media;117064;Baja;4;3;20/09/2023;23/05/2024;18/06/2024;21/06/2024;275
SDATOOL-1778;CCS;Baja;124533;Media;8;2;03/05/2019;21/02/2020;02/03/2020;04/03/2020;306
SDATOOL-5865;RCS;Media;146002;Baja;8;3;01/02/2023;14/01/2024;04/02/2024;14/02/2024;378
SDATOOL-2522;RIC;Baja;203326;Alta;1;3;22/10/2025;02/09/2026;20/09/2026;30/09/2026;343
SDATOOL-9677;ENG;Media;179856;Media;6;3;19/08/2022;09/06/2023;25/06/2023;28/06/2023;313
SDATOOL-5691;RCS;Alta;73319;Baja;6;2;21/02/2025;06/11/2025;25/11/2025;05/12/2025;287
SDATOOL-1311;FIN;Media;36858;Media;2;1;27/03/2020;09/07/2020;17/07/2020;22/07/2020;117
SDATOOL-5601;CIB;Baja;125565;Alta;8;1;10/05/2020;16/11/2020;02/12/2020;05/12/2020;209
SDATOOL-9982;RCS;Alta;170539;Media;6;3;29/02/2024;19/12/2024;14/01/2025;19/01/2025;325
SDATOOL-3879;CCS;Alta;140901;Media;8;2;04/10/2025;03/09/2026;16/09/2026;21/09/2026;352
SDATOOL-2000;RIC;Baja;310823;Alta;7;3;06/08/2023;06/06/2024;29/06/2024;05/07/2024;334
SDATOOL-5810;CIB;Media;202160;Media;4;4;21/07/2020;13/08/2021;10/09/2021;12/09/2021;418
SDATOOL-5999;CIB;Alta;221551;Media;10;3;17/10/2019;03/12/2020;13/12/2020;18/12/2020;428
SDATOOL-6021;ENG;Media;133774;Media;9;2;25/02/2022;01/01/2023;11/01/2023;20/01/2023;329
SDATOOL-3942;RCS;Media;50811;Media;2;1;04/10/2022;16/01/2023;23/01/2023;24/01/2023;112
SDATOOL-9586;T&C;Media;80768;Media;1;2;10/10/2020;20/04/2021;06/05/2021;11/05/2021;213
SDATOOL-8365;RCS;Media;135337;Media;1;3;18/11/2021;24/08/2022;12/09/2022;21/09/2022;307
SDATOOL-4286;ENG;Baja;276554;Alta;4;3;20/03/2023;15/02/2024;28/02/2024;05/03/2024;351
SDATOOL-4980;ENG;Media;248283;Alta;4;3;16/12/2024;21/09/2025;20/10/2025;30/10/2025;318
SDATOOL-9431;FIN;Alta;349611;Alta;4;4;10/07/2020;25/07/2021;19/08/2021;25/08/2021;411
SDATOOL-1451;ENG;Alta;67158;Baja;3;2;01/08/2021;18/03/2022;06/04/2022;10/04/2022;252
SDATOOL-6369;ENG;Media;50436;Media;1;1;01/01/2021;30/04/2021;29/05/2021;06/06/2021;156
SDATOOL-7830;CIB;Alta;155679;Media;3;3;04/06/2022;12/02/2023;04/03/2023;14/03/2023;283
SDATOOL-2095;CCS;Baja;107438;Media;6;2;12/07/2025;07/03/2026;30/03/2026;04/04/2026;266
SDATOOL-4626;ENG;Media;89132;Baja;10;2;03/07/2019;09/05/2020;21/05/2020;23/05/2020;325
SDATOOL-9210;ENG;Media;230418;Alta;3;3;17/04/2025;15/03/2026;27/03/2026;29/03/2026;346
SDATOOL-9027;T&C;Media;58876;Media;2;1;06/12/2021;19/03/2022;31/03/2022;04/04/2022;119
SDATOOL-4985;CIB;Baja;33621;Media;1;1;07/11/2022;28/01/2023;22/02/2023;01/03/2023;114
SDATOOL-7803;CIB;Alta;42446;Baja;1;2;31/05/2024;16/12/2024;07/01/2025;10/01/2025;224
SDATOOL-7675;CIB;Media;297952;Media;10;4;14/06/2025;17/08/2026;13/09/2026;21/09/2026;464
SDATOOL-7627;CCS;Alta;208440;Media;8;3;01/10/2024;12/07/2025;23/07/2025;27/07/2025;299
SDATOOL-6647;T&C;Alta;167362;Media;6;3;23/03/2025;15/03/2026;02/04/2026;06/04/2026;379
SDATOOL-7252;RIC;Alta;101707;Alta;8;1;09/02/2021;27/08/2021;10/09/2021;15/09/2021;218
SDATOOL-9416;T&C;Media;89507;Alta;4;1;07/05/2024;12/10/2024;30/10/2024;05/11/2024;182
SDATOOL-5423;GRM;Alta;27402;Baja;1;1;08/08/2023;24/11/2023;11/12/2023;16/12/2023;130
SDATOOL-9914;CIB;Media;224265;Alta;7;2;10/06/2024;19/03/2025;10/04/2025;15/04/2025;309
SDATOOL-8238;RIC;Alta;218760;Alta;7;2;29/07/2021;09/07/2022;16/07/2022;18/07/2022;354
SDATOOL-1622;CCS;Baja;60302;Media;8;1;27/11/2019;03/07/2020;17/07/2020;19/07/2020;235
SDATOOL-1614;GRM;Baja;167382;Alta;4;2;04/05/2024;14/12/2024;22/12/2024;28/12/2024;238
SDATOOL-3198;FIN;Media;70956;Media;1;2;28/04/2024;24/10/2024;08/11/2024;15/11/2024;201
SDATOOL-2567;ENG;Media;99955;Media;3;2;30/09/2024;21/05/2025;04/06/2025;13/06/2025;256
SDATOOL-1737;RCS;Media;233857;Alta;9;2;29/05/2019;24/05/2020;18/06/2020;19/06/2020;387
