Código de proyecto,Área,Prioridad,Presupuesto,Complejidad técnica,Número de dependencias asociadas,Fecha de inicio de ejecución,Fecha de uso por el cliente planificada,Fecha fin de ejecución,Fecha pase a producción,Fecha de uso por el cliente,Time to market
SDATOOL-7711,CIB,Alta,"282,563",Alta,5,06/07/2020,03/06/2021,25/06/2021,24/07/2021,29/07/2021,388
SDATOOL-8989,GRM,Media,"126,956",Baja,2,07/05/2023,06/07/2023,25/05/2023,05/06/2023,15/06/2023,39
SDATOOL-8301,FIN,Media,"163,139",Media,5,20/12/2021,03/06/2022,27/04/2022,15/05/2022,16/05/2022,147
SDATOOL-4059,FIN,Media,"148,785",Media,3,01/03/2021,12/08/2021,28/06/2021,18/07/2021,20/07/2021,141
SDATOOL-1452,ENG,Media,"317,175",Alta,7,23/12/2021,15/12/2022,02/01/2023,21/01/2023,23/01/2023,396
SDATOOL-9272,CIB,Media,"91,799",Baja,1,19/09/2024,29/11/2024,12/11/2024,20/11/2024,24/11/2024,66
SDATOOL-2021,RCS,Media,"148,215",Media,2,11/01/2025,18/07/2025,16/06/2025,12/07/2025,16/07/2025,186
SDATOOL-8063,FIN,Media,"307,199",Alta,7,18/07/2020,05/05/2021,22/06/2021,07/07/2021,09/07/2021,356
SDATOOL-5373,RIC,Alta,"124,935",Media,1,16/10/2021,14/04/2022,13/04/2022,22/04/2022,23/04/2022,189
SDATOOL-3053,GRM,Media,"155,470",Media,5,19/12/2023,23/08/2024,27/07/2024,09/08/2024,17/08/2024,242
SDATOOL-3729,CIB,Media,"341,634",Alta,9,01/01/2019,26/12/2019,21/12/2019,11/01/2020,18/01/2020,382
SDATOOL-2371,FIN,Media,"259,873",Alta,4,29/07/2024,04/06/2025,04/09/2025,14/09/2025,21/09/2025,419
SDATOOL-3863,GRM,Media,"113,956",Baja,1,22/12/2020,23/02/2021,24/02/2021,04/03/2021,07/03/2021,75
SDATOOL-2195,CCS,Media,"208,193",Media,8,23/04/2022,22/12/2022,28/01/2023,19/02/2023,21/02/2023,304
SDATOOL-9637,T&C,Alta,"143,182",Media,3,26/06/2019,31/12/2019,15/12/2019,08/01/2020,10/01/2020,198
SDATOOL-7479,FIN,Media,"172,722",Media,6,26/01/2020,22/07/2020,26/06/2020,19/07/2020,28/07/2020,184
SDATOOL-2374,ENG,Media,"150,414",Media,3,21/04/2021,09/10/2021,26/09/2021,20/10/2021,25/10/2021,187
SDATOOL-4064,CCS,Media,"210,610",Alta,2,01/01/2019,22/12/2019,21/03/2019,03/04/2019,07/04/2019,96
SDATOOL-9523,FIN,Alta,"296,889",Alta,6,18/04/2021,16/01/2022,05/01/2022,17/01/2022,21/01/2022,278
SDATOOL-8436,GRM,Media,"348,760",Alta,8,07/09/2021,13/06/2022,04/07/2022,27/07/2022,30/07/2022,326
SDATOOL-9782,RIC,Baja,"171,321",Media,5,09/07/2024,23/02/2025,16/01/2025,12/02/2025,18/02/2025,224
SDATOOL-8686,ENG,Media,"184,860",Media,6,16/09/2024,25/04/2025,02/05/2025,14/05/2025,17/05/2025,243
SDATOOL-6714,CIB,Baja,"382,077",Alta,6,01/01/2019,06/11/2019,11/04/2019,26/04/2019,02/05/2019,121
SDATOOL-9264,FIN,Baja,"131,425",Media,1,26/01/2019,12/08/2019,24/07/2019,16/08/2019,17/08/2019,203
SDATOOL-2618,RCS,Alta,"104,251",Baja,5,23/09/2022,05/02/2023,21/01/2023,02/02/2023,10/02/2023,140
SDATOOL-8211,ENG,Media,"219,887",Alta,1,03/02/2019,16/01/2020,07/01/2020,19/01/2020,28/01/2020,359
SDATOOL-4636,CCS,Alta,"132,024",Media,3,27/07/2022,11/02/2023,08/01/2023,22/01/2023,31/01/2023,188
SDATOOL-2664,RCS,Alta,"83,963",Baja,2,10/03/2024,22/06/2024,27/05/2024,12/06/2024,20/06/2024,102
SDATOOL-6165,CCS,Alta,"149,018",Media,2,07/11/2020,24/07/2021,02/07/2021,29/07/2021,31/07/2021,266
SDATOOL-7395,RIC,Media,"123,394",Media,1,18/01/2024,22/07/2024,25/06/2024,19/07/2024,23/07/2024,187
SDATOOL-1446,FIN,Alta,"138,593",Media,4,01/01/2019,21/07/2019,22/03/2019,19/04/2019,29/04/2019,118
SDATOOL-5643,RCS,Alta,"122,976",Media,2,13/05/2021,12/10/2021,26/09/2021,23/10/2021,24/10/2021,164
SDATOOL-8719,CIB,Media,"193,411",Media,7,26/07/2024,25/03/2025,24/01/2025,22/02/2025,04/03/2025,221
SDATOOL-8990,FIN,Alta,"224,680",Alta,2,28/11/2020,20/10/2021,23/12/2021,03/01/2022,13/01/2022,411
SDATOOL-2602,ENG,Alta,"235,743",Media,4,20/02/2023,27/09/2023,29/08/2023,26/09/2023,27/09/2023,219
SDATOOL-4346,ENG,Media,"171,200",Media,6,01/01/2019,18/08/2019,02/06/2019,14/06/2019,24/06/2019,174
SDATOOL-5319,GRM,Alta,"213,933",Media,10,30/01/2024,24/09/2024,29/11/2024,15/12/2024,23/12/2024,328
SDATOOL-7592,CCS,Alta,"326,501",Alta,8,16/09/2020,16/07/2021,18/06/2021,08/07/2021,17/07/2021,304
SDATOOL-4480,RCS,Media,"212,306",Media,5,15/03/2025,08/10/2025,03/08/2025,31/08/2025,10/09/2025,179
SDATOOL-1372,FIN,Alta,"273,497",Alta,4,01/04/2019,29/01/2020,03/12/2019,31/12/2019,08/01/2020,282
SDATOOL-4928,FIN,Alta,"212,220",Alta,2,11/02/2022,06/01/2023,09/01/2023,27/01/2023,03/02/2023,357
SDATOOL-3830,RCS,Media,"388,245",Alta,10,07/04/2024,15/03/2025,27/02/2025,22/03/2025,24/03/2025,351
SDATOOL-4140,FIN,Media,"232,756",Alta,3,07/02/2019,19/11/2019,19/02/2020,10/03/2020,17/03/2020,404
SDATOOL-9136,ENG,Media,"224,979",Media,3,10/03/2019,04/10/2019,27/08/2019,22/09/2019,02/10/2019,206
SDATOOL-3001,ENG,Alta,"121,246",Media,1,08/02/2023,03/10/2023,05/10/2023,23/10/2023,02/11/2023,267
SDATOOL-7542,FIN,Alta,"152,114",Baja,6,24/08/2024,27/11/2024,07/12/2024,18/12/2024,25/12/2024,123
SDATOOL-4107,T&C,Alta,"216,978",Media,10,20/06/2022,06/02/2023,26/04/2023,16/05/2023,21/05/2023,335
SDATOOL-1708,ENG,Baja,"134,375",Baja,3,05/05/2024,10/09/2024,10/09/2024,26/09/2024,28/09/2024,146
SDATOOL-1536,RCS,Baja,"67,537",Baja,3,06/03/2024,30/05/2024,24/04/2024,05/05/2024,08/05/2024,63
SDATOOL-4101,RIC,Alta,"98,688",Baja,3,16/05/2020,25/07/2020,06/07/2020,01/08/2020,09/08/2020,85
SDATOOL-2791,FIN,Alta,"197,543",Alta,1,08/08/2021,07/05/2022,16/04/2022,10/05/2022,14/05/2022,279
SDATOOL-5534,CCS,Baja,"169,593",Media,6,05/08/2022,23/01/2023,01/01/2023,09/01/2023,13/01/2023,161
SDATOOL-2394,ENG,Alta,"223,267",Media,4,17/02/2022,25/08/2022,27/08/2022,23/09/2022,30/09/2022,225
SDATOOL-9340,CIB,Alta,"226,554",Alta,2,20/10/2019,28/08/2020,05/10/2020,02/11/2020,09/11/2020,386
SDATOOL-1728,CIB,Media,"114,830",Media,1,01/01/2019,13/06/2019,16/03/2019,30/03/2019,09/04/2019,98
SDATOOL-5048,FIN,Media,"144,507",Media,3,05/09/2023,05/05/2024,22/04/2024,16/05/2024,24/05/2024,262
SDATOOL-5378,FIN,Alta,"161,775",Baja,4,23/02/2024,23/06/2024,09/06/2024,01/07/2024,06/07/2024,134
SDATOOL-6459,GRM,Media,"161,718",Media,5,05/06/2024,06/01/2025,25/12/2024,11/01/2025,20/01/2025,229
SDATOOL-5395,RCS,Media,"227,178",Media,3,01/01/2019,26/06/2019,05/04/2019,23/04/2019,03/05/2019,122
SDATOOL-2313,CCS,Media,"160,347",Media,5,08/03/2025,14/09/2025,31/07/2025,21/08/2025,28/08/2025,173
SDATOOL-7771,T&C,Media,"167,386",Media,4,12/10/2019,15/03/2020,26/02/2020,07/03/2020,12/03/2020,152
SDATOOL-9430,FIN,Media,"356,073",Alta,9,19/08/2023,11/06/2024,17/08/2024,03/09/2024,10/09/2024,388
SDATOOL-9025,T&C,Media,"224,355",Media,1,26/01/2021,27/09/2021,26/08/2021,07/09/2021,14/09/2021,231
SDATOOL-4851,ENG,Media,"155,679",Baja,3,21/06/2019,21/09/2019,31/12/2019,08/01/2020,10/01/2020,203
SDATOOL-4909,CIB,Baja,"193,588",Media,7,10/06/2023,14/02/2024,22/01/2024,03/02/2024,09/02/2024,244
SDATOOL-6891,RIC,Media,"276,072",Alta,5,19/01/2022,20/12/2022,01/12/2022,28/12/2022,06/01/2023,352
SDATOOL-7478,RIC,Media,"111,592",Baja,1,17/06/2023,28/08/2023,10/07/2023,03/08/2023,10/08/2023,54
SDATOOL-3562,T&C,Alta,"374,963",Alta,10,12/01/2024,12/11/2024,30/10/2024,17/11/2024,24/11/2024,317
SDATOOL-1431,FIN,Baja,"189,343",Media,6,24/10/2021,22/04/2022,11/03/2022,27/03/2022,30/03/2022,157
SDATOOL-8759,FIN,Media,"187,903",Media,8,07/04/2021,23/10/2021,01/01/2022,15/01/2022,16/01/2022,284
SDATOOL-4370,RCS,Alta,"203,481",Media,3,06/08/2021,01/04/2022,20/03/2022,10/04/2022,17/04/2022,254
SDATOOL-9003,CCS,Alta,"97,666",Baja,1,14/11/2020,18/01/2021,12/12/2020,03/01/2021,07/01/2021,54
SDATOOL-4395,CCS,Alta,"155,970",Media,4,02/09/2021,20/02/2022,13/02/2022,10/03/2022,11/03/2022,190
SDATOOL-3328,FIN,Alta,"239,035",Media,10,25/09/2019,14/04/2020,17/06/2020,02/07/2020,10/07/2020,289
SDATOOL-1037,FIN,Baja,"116,621",Baja,1,06/01/2024,06/03/2024,05/03/2024,21/03/2024,24/03/2024,78
SDATOOL-3784,FIN,Media,"117,404",Media,1,27/12/2021,25/07/2022,05/07/2022,20/07/2022,24/07/2022,209
SDATOOL-2797,RIC,Media,"362,177",Alta,9,26/01/2021,25/12/2021,22/12/2021,01/01/2022,05/01/2022,344
SDATOOL-1492,GRM,Alta,"356,076",Alta,4,05/10/2021,14/07/2022,20/05/2022,14/06/2022,19/06/2022,257
SDATOOL-4237,FIN,Alta,"221,099",Media,10,04/06/2019,11/12/2019,19/03/2020,07/04/2020,14/06/2021,741
SDATOOL-3185,FIN,Alta,"328,051",Alta,7,08/04/2023,10/01/2024,28/12/2023,11/01/2024,21/01/2024,288
SDATOOL-8184,CCS,Alta,"126,384",Media,1,22/09/2021,20/03/2022,20/02/2022,28/02/2022,03/03/2022,162
SDATOOL-7969,CIB,Media,"143,770",Media,4,09/06/2019,06/12/2019,16/11/2019,30/11/2019,07/12/2019,181
SDATOOL-2586,CCS,Baja,"109,324",Media,1,11/10/2021,28/03/2022,19/02/2022,20/03/2022,21/03/2022,161
SDATOOL-1568,ENG,Media,"255,266",Alta,3,12/07/2023,18/06/2024,09/06/2024,06/07/2024,12/07/2024,366
SDATOOL-5580,RCS,Alta,"163,299",Media,5,09/08/2021,12/01/2022,04/01/2022,21/01/2022,25/01/2022,169
SDATOOL-6156,RCS,Media,"132,315",Baja,3,16/03/2024,20/05/2024,01/05/2024,10/05/2024,17/05/2024,62
SDATOOL-9049,FIN,Alta,"205,189",Media,7,30/03/2021,21/12/2021,05/12/2021,17/12/2021,27/12/2021,272
SDATOOL-7816,ENG,Media,"309,461",Alta,7,04/05/2021,04/04/2022,16/03/2022,31/03/2022,04/04/2022,335
SDATOOL-6552,CCS,Alta,"137,405",Media,1,23/02/2025,20/08/2025,18/08/2025,02/09/2025,09/09/2025,198
SDATOOL-8283,FIN,Alta,"351,389",Alta,8,01/02/2020,10/01/2021,25/12/2020,22/01/2021,29/01/2021,363
SDATOOL-9485,FIN,Baja,"215,042",Media,3,25/01/2024,01/07/2024,11/07/2024,18/07/2024,24/07/2024,181
SDATOOL-5600,FIN,Alta,"193,495",Alta,1,16/09/2023,31/07/2024,14/08/2024,24/08/2024,25/08/2024,344
SDATOOL-7452,ENG,Media,"166,736",Media,6,02/01/2024,26/06/2024,07/06/2024,18/06/2024,19/06/2024,169
SDATOOL-5607,RCS,Media,"134,008",Baja,5,01/01/2019,09/03/2019,14/04/2019,27/04/2019,07/05/2019,126
SDATOOL-8888,ENG,Alta,"202,600",Media,5,28/09/2022,15/03/2023,13/06/2023,22/06/2023,28/06/2023,273
SDATOOL-5365,T&C,Media,"89,913",Baja,2,22/12/2022,23/03/2023,26/02/2023,08/03/2023,18/03/2023,86
SDATOOL-1649,FIN,Baja,"176,056",Media,6,30/11/2022,07/05/2023,23/04/2023,19/05/2023,28/05/2023,179
SDATOOL-8791,CIB,Alta,"310,032",Alta,7,27/06/2020,31/03/2021,13/06/2021,04/07/2021,11/07/2021,379
SDATOOL-1128,T&C,Alta,"183,196",Media,6,25/08/2019,25/03/2020,27/02/2020,23/03/2020,29/03/2020,217
SDATOOL-5680,CIB,Alta,"212,146",Media,4,05/03/2021,11/10/2021,06/09/2021,02/10/2021,06/10/2021,215
SDATOOL-4849,RCS,Baja,"146,580",Media,4,07/02/2021,26/07/2021,18/07/2021,14/08/2021,24/08/2021,198
SDATOOL-7920,ENG,Media,"331,482",Alta,8,22/10/2023,11/08/2024,13/10/2024,06/11/2024,16/11/2024,391
SDATOOL-5104,RIC,Media,"270,699",Alta,4,07/02/2022,20/01/2023,07/01/2023,14/01/2023,22/01/2023,349
SDATOOL-6794,CIB,Media,"149,778",Baja,2,02/06/2019,06/08/2019,10/07/2019,04/08/2019,12/08/2019,71
SDATOOL-5903,T&C,Alta,"206,167",Media,3,26/09/2020,18/03/2021,08/03/2021,18/03/2021,26/03/2021,181
SDATOOL-7781,FIN,Baja,"217,491",Media,4,14/02/2024,30/09/2024,12/09/2024,26/09/2024,02/10/2024,231
SDATOOL-1570,FIN,Alta,"289,714",Alta,6,01/05/2019,11/02/2020,20/01/2020,08/02/2020,16/02/2020,291
SDATOOL-3920,RCS,Media,"136,317",Media,1,16/05/2020,16/11/2020,06/10/2020,03/11/2020,05/11/2020,173
SDATOOL-9372,FIN,Media,"106,075",Baja,4,21/10/2021,21/02/2022,26/01/2022,22/02/2022,02/03/2022,132
SDATOOL-3484,FIN,Alta,"129,471",Media,1,23/03/2022,07/10/2022,06/08/2022,02/09/2022,12/09/2022,173
SDATOOL-9508,ENG,Baja,"124,609",Baja,3,02/04/2022,22/07/2022,07/10/2022,04/11/2022,07/11/2022,219
SDATOOL-6767,FIN,Baja,"174,836",Media,5,27/04/2024,09/10/2024,25/09/2024,11/10/2024,21/10/2024,177
SDATOOL-9181,RCS,Media,"85,207",Baja,2,05/11/2022,09/02/2023,27/01/2023,15/02/2023,18/02/2023,105
SDATOOL-8141,FIN,Media,"112,923",Baja,1,03/08/2023,22/10/2023,28/09/2023,10/10/2023,11/10/2023,69
SDATOOL-8596,RIC,Media,"168,130",Media,6,09/12/2020,29/07/2021,04/08/2021,12/08/2021,20/08/2021,254
SDATOOL-1190,CIB,Media,"206,059",Media,9,07/07/2020,17/03/2021,23/04/2021,14/05/2021,23/05/2021,320
SDATOOL-9835,CIB,Media,"349,273",Alta,8,28/06/2019,28/05/2020,23/06/2020,07/07/2020,11/07/2020,379
SDATOOL-2115,RCS,Media,"154,808",Media,3,03/05/2023,06/12/2023,06/11/2023,29/11/2023,07/12/2023,218
SDATOOL-7186,ENG,Media,"292,909",Alta,5,05/06/2021,08/05/2022,14/05/2022,04/06/2022,13/06/2022,373
SDATOOL-4099,FIN,Baja,"195,668",Media,7,07/07/2023,08/02/2024,21/01/2024,04/02/2024,07/02/2024,215
SDATOOL-8307,FIN,Media,"277,097",Alta,4,01/01/2019,30/10/2019,18/09/2019,15/10/2019,25/10/2019,297
SDATOOL-8315,FIN,Media,"202,765",Media,4,25/01/2020,31/07/2020,17/06/2020,24/06/2020,03/07/2020,160
SDATOOL-5137,ENG,Media,"237,950",Alta,2,28/12/2023,12/10/2024,25/12/2024,21/01/2025,31/01/2025,400
SDATOOL-9452,RIC,Alta,"146,969",Baja,3,25/12/2022,03/03/2023,04/04/2023,23/04/2023,29/04/2023,125
SDATOOL-6374,CIB,Media,"133,795",Media,2,02/10/2023,09/06/2024,17/05/2024,01/06/2024,09/06/2024,251
SDATOOL-8310,ENG,Media,"132,504",Media,3,17/04/2023,08/11/2023,13/09/2023,11/10/2023,20/10/2023,186
SDATOOL-4890,FIN,Alta,"326,410",Alta,8,08/04/2021,18/01/2022,09/01/2022,17/01/2022,22/01/2022,289
SDATOOL-6453,CIB,Media,"111,271",Media,1,09/02/2019,24/08/2019,17/07/2019,30/07/2019,06/08/2019,178
SDATOOL-2454,FIN,Media,"385,167",Alta,10,01/01/2019,16/12/2019,11/09/2019,03/10/2019,13/10/2019,285
SDATOOL-4247,FIN,Baja,"87,691",Baja,2,02/08/2022,06/10/2022,08/09/2022,18/09/2022,24/09/2022,53
SDATOOL-5107,CIB,Baja,"155,545",Media,5,04/11/2019,19/04/2020,30/03/2020,28/04/2020,29/04/2020,177
SDATOOL-8238,ENG,Media,"99,758",Baja,5,10/11/2022,26/03/2023,09/02/2023,08/03/2023,15/03/2023,125
SDATOOL-9649,ENG,Alta,"238,170",Media,1,18/10/2023,21/06/2024,18/06/2024,09/07/2024,10/07/2024,266
SDATOOL-4857,CIB,Alta,"132,237",Media,2,10/01/2019,19/07/2019,04/07/2019,20/07/2019,22/07/2019,193
SDATOOL-1686,FIN,Alta,"290,610",Alta,5,24/08/2024,12/06/2025,21/08/2025,19/09/2025,27/09/2025,399
SDATOOL-2800,ENG,Media,"232,018",Alta,3,04/05/2022,03/03/2023,09/05/2023,17/05/2023,19/05/2023,380
SDATOOL-8795,ENG,Media,"134,737",Baja,5,19/05/2020,11/09/2020,24/08/2020,20/09/2020,25/09/2020,129
SDATOOL-4897,FIN,Alta,"154,634",Media,4,10/05/2023,07/11/2023,20/11/2023,28/11/2023,03/12/2023,207
SDATOOL-1681,GRM,Alta,"220,279",Media,4,15/05/2023,20/11/2023,27/11/2023,04/12/2023,12/12/2023,211
SDATOOL-1822,ENG,Alta,"323,254",Alta,8,02/02/2019,18/01/2020,31/01/2020,14/02/2020,22/02/2020,385
SDATOOL-5231,CIB,Alta,"144,133",Media,3,08/09/2021,26/03/2022,23/03/2022,03/04/2022,05/04/2022,209
SDATOOL-6350,FIN,Media,"167,115",Media,6,11/07/2022,17/03/2023,16/03/2023,25/03/2023,28/03/2023,260
SDATOOL-8642,FIN,Media,"154,472",Media,4,20/09/2023,09/04/2024,25/03/2024,15/04/2024,23/04/2024,216
SDATOOL-8450,ENG,Media,"97,425",Baja,3,14/05/2024,21/08/2024,27/07/2024,22/08/2024,24/08/2024,102
SDATOOL-1404,ENG,Alta,"161,034",Media,3,05/11/2021,17/07/2022,12/06/2022,20/06/2022,22/06/2022,229
SDATOOL-7451,ENG,Media,"196,817",Alta,1,05/08/2022,02/06/2023,16/08/2023,05/09/2023,11/09/2023,402
SDATOOL-7202,FIN,Media,"177,944",Media,7,13/07/2022,18/02/2023,17/12/2022,13/01/2023,21/01/2023,192
SDATOOL-8396,FIN,Alta,"100,339",Baja,3,25/06/2022,08/11/2022,12/10/2022,28/10/2022,06/11/2022,134
SDATOOL-6524,CIB,Media,"365,725",Alta,10,30/04/2020,18/03/2021,03/04/2021,21/04/2021,29/04/2021,364
SDATOOL-2665,GRM,Media,"228,532",Media,9,16/09/2020,13/05/2021,15/06/2021,02/07/2021,12/07/2021,299
SDATOOL-5015,T&C,Media,"115,339",Baja,1,04/10/2019,09/01/2020,05/12/2019,18/12/2019,25/12/2019,82
SDATOOL-4942,CIB,Media,"142,747",Media,2,05/04/2021,13/10/2021,09/10/2021,17/10/2021,27/10/2021,205
SDATOOL-7787,ENG,Media,"184,987",Media,6,22/11/2023,09/07/2024,16/05/2024,12/06/2024,21/06/2024,212
SDATOOL-6691,ENG,Alta,"213,939",Alta,2,28/03/2021,14/03/2022,20/02/2022,20/03/2022,29/03/2022,366
SDATOOL-5528,ENG,Media,"135,925",Media,2,26/07/2021,22/03/2022,13/03/2022,25/03/2022,02/04/2022,250
SDATOOL-6769,CIB,Alta,"216,307",Alta,1,11/05/2022,21/03/2023,25/04/2023,19/05/2023,27/05/2023,381
SDATOOL-8587,CCS,Alta,"209,721",Media,5,12/12/2021,02/06/2022,30/04/2022,17/05/2022,18/05/2022,157
SDATOOL-1073,FIN,Alta,"199,348",Alta,1,01/01/2019,21/12/2019,22/11/2019,01/12/2019,04/12/2019,337
SDATOOL-5011,FIN,Media,"263,408",Alta,4,02/05/2022,10/02/2023,02/04/2023,16/04/2023,23/04/2023,356
SDATOOL-5129,CCS,Baja,"145,898",Media,4,07/01/2020,05/07/2020,26/06/2020,24/07/2020,03/08/2020,209
SDATOOL-2710,FIN,Media,"238,393",Media,4,21/06/2021,05/03/2022,16/02/2022,28/02/2022,09/03/2022,261
SDATOOL-1680,ENG,Media,"171,964",Media,4,11/01/2022,16/07/2022,25/06/2022,13/07/2022,16/07/2022,186
SDATOOL-4919,GRM,Baja,"108,292",Baja,3,18/09/2021,06/12/2021,25/11/2021,06/12/2021,08/12/2021,81
SDATOOL-4715,FIN,Alta,"181,109",Media,6,16/09/2021,03/04/2022,15/04/2022,24/04/2022,28/04/2022,224
SDATOOL-1748,ENG,Alta,"211,475",Media,5,28/03/2023,06/09/2023,31/10/2023,26/11/2023,04/12/2023,251
SDATOOL-9288,GRM,Baja,"113,280",Media,1,25/06/2023,14/02/2024,23/01/2024,14/02/2024,15/02/2024,235
SDATOOL-3010,FIN,Alta,"236,393",Media,10,23/11/2019,06/06/2020,09/08/2020,28/08/2020,01/09/2020,283
SDATOOL-3846,T&C,Baja,"182,825",Media,5,19/02/2024,07/10/2024,03/09/2024,23/09/2024,30/09/2024,224
SDATOOL-4158,GRM,Media,"124,731",Media,2,15/02/2022,06/08/2022,19/07/2022,02/08/2022,11/08/2022,177
SDATOOL-1058,FIN,Alta,"177,932",Media,6,23/08/2020,05/02/2021,06/02/2021,01/03/2021,02/03/2021,191
SDATOOL-7708,GRM,Baja,"209,608",Media,3,02/03/2020,17/09/2020,24/09/2020,01/10/2020,03/10/2020,215
SDATOOL-5267,ENG,Alta,"250,846",Alta,4,11/07/2024,07/05/2025,21/04/2025,09/05/2025,17/05/2025,310
SDATOOL-9876,T&C,Media,"97,265",Baja,2,24/01/2024,10/06/2024,29/04/2024,11/05/2024,13/05/2024,110
SDATOOL-5007,GRM,Media,"113,697",Media,1,08/07/2024,06/01/2025,15/12/2024,10/01/2025,13/01/2025,189
SDATOOL-4599,CIB,Media,"211,688",Alta,2,25/02/2019,14/02/2020,21/02/2020,05/03/2020,06/03/2020,375
SDATOOL-5753,ENG,Media,"128,325",Media,1,24/10/2019,17/07/2020,17/07/2020,30/07/2020,02/08/2020,283
SDATOOL-5060,FIN,Media,"214,197",Media,3,11/01/2022,06/08/2022,05/09/2022,22/09/2022,23/09/2022,255
SDATOOL-1503,FIN,Media,"125,653",Baja,7,03/12/2023,16/02/2024,04/03/2024,13/03/2024,15/03/2024,103
SDATOOL-5400,FIN,Alta,"113,115",Media,1,13/10/2020,11/04/2021,20/02/2021,09/03/2021,19/03/2021,157
SDATOOL-6581,CIB,Alta,"249,666",Alta,3,19/06/2024,24/04/2025,10/04/2025,22/04/2025,02/05/2025,317
SDATOOL-7831,T&C,Media,"148,225",Media,4,04/06/2020,17/12/2020,13/12/2020,30/12/2020,03/01/2021,213
SDATOOL-4196,GRM,Alta,"325,710",Alta,5,01/01/2019,21/10/2019,05/05/2019,31/05/2019,10/06/2019,160
SDATOOL-4056,CIB,Alta,"211,008",Media,9,15/08/2024,28/03/2025,05/06/2025,13/06/2025,18/06/2025,307
SDATOOL-9920,FIN,Media,"218,567",Alta,1,07/02/2023,19/12/2023,13/02/2024,09/03/2024,12/03/2024,399
SDATOOL-1150,ENG,Baja,"228,552",Media,4,27/03/2021,25/08/2021,14/08/2021,30/08/2021,04/09/2021,161
SDATOOL-3940,FIN,Media,"123,958",Media,2,23/10/2019,05/06/2020,03/06/2020,11/06/2020,12/06/2020,233
SDATOOL-7256,FIN,Media,"128,647",Media,5,22/06/2024,30/11/2024,01/10/2024,30/10/2024,01/11/2024,132
SDATOOL-6332,T&C,Media,"182,289",Media,7,08/04/2024,09/10/2024,10/09/2024,09/10/2024,18/10/2024,193
SDATOOL-3197,ENG,Alta,"218,423",Alta,2,06/05/2022,20/02/2023,02/04/2023,18/04/2023,26/04/2023,355
SDATOOL-3122,ENG,Baja,"174,260",Media,5,04/04/2019,23/11/2019,29/11/2019,10/12/2019,12/12/2019,252
SDATOOL-4006,RIC,Baja,"92,712",Baja,2,28/01/2022,04/06/2022,27/04/2022,08/05/2022,09/05/2022,101
SDATOOL-5049,ENG,Alta,"205,627",Media,7,12/11/2023,28/05/2024,21/05/2024,30/05/2024,01/06/2024,202
SDATOOL-6873,ENG,Baja,"134,587",Media,1,03/06/2022,17/12/2022,24/11/2022,01/12/2022,10/12/2022,190
SDATOOL-4924,T&C,Media,"132,295",Media,2,11/10/2021,11/04/2022,10/03/2022,02/04/2022,08/04/2022,179
SDATOOL-9254,CIB,Baja,"70,873",Baja,2,24/04/2023,03/08/2023,18/06/2023,10/07/2023,14/07/2023,81
SDATOOL-2875,ENG,Alta,"184,917",Media,6,31/03/2022,02/10/2022,29/09/2022,16/10/2022,21/10/2022,204
SDATOOL-3861,CIB,Media,"300,776",Alta,6,28/06/2023,17/05/2024,18/06/2024,01/07/2024,11/07/2024,379
SDATOOL-4554,RCS,Media,"155,178",Baja,1,01/05/2019,31/07/2019,15/07/2019,29/07/2019,04/08/2019,95
SDATOOL-5134,CIB,Media,"233,279",Alta,2,15/12/2021,01/12/2022,27/11/2022,16/12/2022,26/12/2022,376
SDATOOL-7895,T&C,Alta,"193,406",Media,3,02/09/2019,17/03/2020,17/04/2020,30/04/2020,03/05/2020,244
SDATOOL-7430,ENG,Media,"215,847",Media,5,06/05/2021,16/12/2021,29/12/2021,07/01/2022,11/01/2022,250
SDATOOL-2059,FIN,Media,"181,785",Media,6,20/08/2019,07/05/2020,05/05/2020,31/05/2020,06/06/2020,291
SDATOOL-6879,GRM,Media,"133,286",Baja,5,17/10/2020,20/02/2021,02/02/2021,19/02/2021,21/02/2021,127
SDATOOL-8030,RIC,Media,"198,012",Alta,1,01/01/2019,31/10/2019,25/05/2019,19/06/2019,24/06/2019,174
SDATOOL-6776,GRM,Alta,"139,164",Baja,3,12/06/2024,02/09/2024,14/08/2024,10/09/2024,13/09/2024,93
SDATOOL-7354,T&C,Media,"199,745",Media,7,19/02/2023,11/09/2023,16/09/2023,29/09/2023,03/10/2023,226
SDATOOL-4893,GRM,Media,"93,259",Baja,6,05/05/2019,01/08/2019,11/08/2019,20/08/2019,30/08/2019,117
SDATOOL-8907,FIN,Baja,"141,591",Baja,5,14/01/2024,24/03/2024,29/03/2024,18/04/2024,26/04/2024,103
SDATOOL-4005,ENG,Alta,"150,959",Media,4,10/01/2021,01/07/2021,29/06/2021,14/07/2021,22/07/2021,193
SDATOOL-1803,FIN,Alta,"122,744",Media,2,09/12/2019,19/05/2020,12/04/2020,09/05/2020,19/05/2020,162
SDATOOL-8881,CIB,Media,"141,417",Baja,3,03/02/2025,16/05/2025,22/05/2025,01/06/2025,08/06/2025,125
SDATOOL-2531,FIN,Media,"184,679",Media,7,02/12/2024,07/08/2025,26/06/2025,24/07/2025,29/07/2025,239
SDATOOL-2345,FIN,Media,"252,541",Alta,4,09/03/2019,25/01/2020,04/02/2020,21/02/2020,29/02/2020,357
